iter	Passed	Remaining
0	141	141440
1	142	70931
2	142	47415
3	143	35648
4	143	28585
5	144	23873
6	144	20507
7	145	17984
8	145	16020
9	145	14449
10	146	13164
11	146	12094
12	147	11187
13	147	10410
14	148	9736
15	148	9149
16	149	8630
17	149	8168
18	150	7754
19	150	7382
20	151	7048
21	151	6742
22	152	6462
23	152	6206
24	153	5969
25	153	5751
26	153	5549
27	154	5361
28	154	5188
29	155	5026
30	155	4874
31	156	4731
32	156	4597
33	157	4470
34	157	4351
35	158	4238
36	158	4131
37	159	4030
38	159	3934
39	160	3843
40	160	3757
41	161	3675
42	161	3597
43	162	3522
44	162	3450
45	163	3381
46	163	3316
47	164	3252
48	164	3192
49	164	3134
50	165	3080
51	166	3028
52	166	2977
53	167	2928
54	167	2883
55	168	2838
56	168	2794
57	169	2751
58	169	2710
59	170	2670
60	170	2632
61	171	2594
62	172	2558
63	172	2522
64	173	2489
65	173	2457
66	174	2424
67	174	2393
68	175	2363
69	175	2333
70	176	2305
71	176	2277
72	177	2249
73	177	2223
74	178	2197
75	178	2172
76	179	2148
77	179	2125
78	180	2103
79	180	2080
80	181	2058
81	181	2037
82	182	2013
83	182	1992
84	183	1973
85	183	1953
86	184	1934
87	184	1916
88	185	1898
89	186	1881
90	186	1863
91	187	1846
92	187	1830
93	188	1813
94	188	1797
95	189	1781
96	189	1766
97	190	1751
98	190	1736
99	191	1722
100	191	1708
101	192	1695
102	193	1682
103	193	1669
104	194	1656
105	194	1643
106	195	1631
107	196	1618
108	196	1606
109	197	1594
110	197	1582
111	198	1571
112	198	1560
113	199	1549
114	199	1538
115	200	1527
116	200	1515
117	201	1504
118	201	1494
119	202	1484
120	202	1473
121	203	1463
122	203	1453
123	204	1444
124	204	1434
125	205	1425
126	205	1415
127	206	1406
128	206	1397
129	207	1388
130	208	1380
131	208	1371
132	209	1362
133	209	1354
134	210	1346
135	210	1338
136	211	1330
137	211	1322
138	212	1314
139	212	1307
140	213	1299
141	213	1290
142	214	1283
143	214	1276
144	215	1268
145	215	1261
146	216	1254
147	216	1248
148	217	1241
149	218	1235
150	218	1229
151	219	1222
152	219	1216
153	220	1210
154	220	1203
155	221	1197
156	221	1190
157	222	1184
158	222	1178
159	223	1172
160	223	1166
161	224	1160
162	224	1154
163	225	1148
164	225	1142
165	226	1136
166	226	1130
167	227	1124
168	227	1119
169	228	1113
170	228	1108
171	229	1103
172	229	1098
173	230	1093
174	230	1088
175	231	1083
176	231	1078
177	232	1073
178	232	1067
179	233	1062
180	233	1057
181	234	1053
182	234	1048
183	235	1044
184	236	1039
185	236	1035
186	237	1030
187	237	1025
188	238	1021
189	238	1016
190	239	1012
191	239	1007
192	239	1003
193	240	998
